HIV1	HIV2	HIV3	HIV4	Cont1	Cont2	Cont3	Cont4
131.36923	59.32277	97.71277	156.51003	146.34274	71.74541	74.21483	90.88409
2514.5586	1313.7327	1103.2068	1929.2362	3562.2454	1952.2319	1782.4142	2790.8643
285.8934	144.04884	129.35266	234.35785	319.1227	187.02475	189.75003	257.89304
861.58813	488.3313	458.8314	716.8904	1123.7103	679.8448	592.08344	863.578
3939.8179	2512.0344	1906.0671	2821.8823	4703.755	3381.9607	3280.1018	4446.9126
1458.0538	685.01996	711.05524	991.21423	2215.7102	1163.393	1559.073	2090.5623
1598.888	895.9819	791.5795	1323.9669	2166.5488	1301.9017	1027.9863	1715.8213
65.19513	33.45045	63.28895	107.88391	639.008	78.25179	40.46087	111.87979
161.36316	77.29202	101.57218	184.54295	156.38292	82.7848	90.69832	174.4936
461.45016	262.7405	268.62607	386.41373	508.01956	286.42923	276.78955	421.57187
2314.963	1152.6229	1155.0522	1442.6359	2375.5837	1288.8868	1765.9207	2121.264
85.07271	40.46824	80.70382	57.79478	109.92008	55.23509	54.49814	121.97652
4.52929	2.48848	23.1361	13.87053	6.52089	8.82263	2.7384	4.25869
367.6794	189.48611	230.91124	335.363	433.1332	236.66968	339.09378	432.2305
1431.8177	748.67444	898.23175	1053.2794	1617.7114	883.70215	1174.5875	1360.1857
2279.5215	1241.9542	1324.0078	1508.3407	2109.432	1206.3698	1849.634	2038.1698
1392.7754	938.4351	980.50323	1346.4458	993.919	682.57153	827.5621	954.67615
256.1665	142.58694	285.07657	621.64514	371.56396	195.61034	229.91547	249.78368
87.15236	72.07333	137.19394	565.9809	114.18643	87.21651	91.41398	95.20538
456.54208	227.2751	338.70633	373.21912	474.60968	260.92392	355.54227	343.68118
238.5058	120.01258	197.59021	395.62122	268.6929	134.72774	202.46051	249.2836
594.0066	300.44528	390.10022	383.64935	809.8007	464.09753	756.9405	683.7302
607.9809	315.41345	432.26453	421.3537	579.85443	318.33868	411.6729	447.02344
346.3437	183.56937	263.5238	210.29457	376.9434	251.21724	415.53244	370.93115
69.5154	34.43441	76.53206	121.12881	63.86627	45.8418	49.29054	72.88496
1573.7593	836.1349	1042.5294	941.90686	1333.6877	895.49426	1487.986	1410.3607
24.8	12.20167	46.89555	3.65181	29.23318	14.13781	23.80653	13.88736
898.9857	402.81912	685.8654	602.5759	777.27527	421.0524	835.25903	734.8657
590.5978	662.1177	266.81915	666.8707	705.46783	826.8159	360.19217	982.2837
60.9851	50.34196	119.90852	85.07183	82.41586	94.06909	43.24358	63.13605
28.10245	22.06621	52.06035	34.99498	43.90353	8.86585	17.75719	17.74266
730.78516	623.4555	318.28687	858.1461	1137.1074	952.07764	472.48703	1301.2297
57.45051	43.02101	42.45312	66.81223	74.72596	78.89781	36.60781	79.04892
622.5352	456.22818	301.3333	572.7816	703.6981	506.594	394.6713	812.0593
31.67351	12.66121	109.62164	70.74826	48.34076	34.12794	59.63351	28.50637
77.26827	54.20124	45.25029	65.57652	74.0863	65.89761	47.79756	57.64685
95.80755	55.99414	108.84373	118.85127	110.30276	65.61633	74.03398	84.28429
150.36671	87.43638	112.63261	184.00905	198.9862	100.3859	100.49501	188.8166
26.21186	13.61774	30.22343	39.04986	43.71635	29.82175	25.7501	45.97829
400.61594	237.7779	209.83844	371.5006	489.78366	272.3302	305.60156	511.41208
637.91565	353.37277	275.187	495.22708	650.0073	386.71988	412.3537	633.24786
757.3258	416.36932	378.49142	771.63776	949.76184	554.70624	509.84488	859.75146
2072.193	1005.28156	935.6762	1519.7784	795.52466	412.47498	572.18665	824.3698
132.19997	40.65446	101.45729	181.12404	140.15279	54.93817	71.80519	80.94609
607.805	319.19525	367.10202	516.1276	629.79865	380.87076	463.8476	631.35706
6.29962	20.90478	8.65272	14.53844	17.6473	20.75978	13.78722	16.59762
138.947	80.85889	116.59963	109.97981	163.74199	100.65206	97.77409	125.30379
3037.9204	1579.3467	1493.4562	1988.6985	4147.7065	2361.7244	3267.7468	4258.058
98.42259	30.28142	109.98316	103.9571	114.46635	59.60972	53.7321	87.73014
585.5564	282.4324	394.4286	417.89896	748.78577	372.86383	616.25555	679.71313
93.66693	55.80766	83.89733	117.77332	221.87326	74.99265	74.24071	116.63822
188.21338	46.00996	55.64048	44.25183	1694.7413	30.95335	21.85689	41.08643
173.08867	121.29087	164.84818	185.91273	368.85712	138.33603	146.49681	220.65977
263.40298	146.37338	202.9164	266.75	237.22957	139.79993	178.84221	350.66467
1048.0485	607.3856	658.07324	691.36346	1305.8512	767.7388	1231.0192	1304.398
367.7619	197.01619	242.41396	257.97372	337.43527	185.804	318.18762	344.8012
85.20869	64.98073	95.69538	115.87791	89.2997	83.36015	85.68224	120.07988
160.90643	129.46341	246.37883	246.38744	203.63498	148.1048	192.92786	189.18594
75.14462	91.66436	145.93452	298.16714	94.55692	85.44232	88.51103	81.76093
3048.3716	1950.3711	1978.1466	2323.933	3518.4287	2352.8613	3550.3206	3689.2622
407.4794	260.9617	307.43176	344.57275	495.27032	344.7818	379.37363	388.61984
409.66534	197.24417	360.17166	430.4917	434.6365	236.45213	391.41556	410.1841
172.8376	117.97353	164.05916	220.2947	172.32903	151.49678	148.84792	232.01117
599.628	278.1806	505.71246	440.8534	568.30115	301.65845	484.18066	447.3365
190.93442	123.93139	166.60092	223.48904	256.61084	168.05354	235.55872	238.0443
246.00319	123.55148	183.67148	185.08926	302.6068	189.5379	350.12863	277.27283
211.82037	164.08705	168.45149	264.27658	216.28474	192.47736	193.99992	245.41685
15.73156	4.00303	62.69624	78.6462	42.8958	20.48165	23.31985	14.59966
31.96281	11.88979	56.71714	83.10248	108.92755	25.40379	19.17908	39.00915
